# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
 0)               |  br_handle_frame [bridge]() {
 0)               |                netif_receive_skb() {
 0)               |                  br_dev_xmit [bridge]() {
 0)   0.296 us    |                    br_nf_dev_xmit [br_netfilter]();
 0)   0.254 us    |                    br_allowed_ingress [bridge]();
 0)   0.301 us    |                    br_fdb_find_rcu [bridge]();
 0)               |                    br_forward [bridge]() {
 0)   0.414 us    |                      br_allowed_egress [bridge]();
 0)   0.249 us    |                      br_handle_vlan [bridge]();
 0)               |                      br_forward_finish [bridge]() {
 0)   0.297 us    |                        br_nf_post_routing [br_netfilter]();
 0)               |                        br_dev_queue_push_xmit [bridge]() {
 0)   0.266 us    |                          br_switchdev_frame_set_offload_fwd_mark [bridge]();
 0)   2.498 us    |                        }
 0)   4.018 us    |                      }
 0)   6.492 us    |                    }
 0)   9.012 us    |                  }
 0) + 36.168 us   |                }
 0) + 36.721 us   |              }
 0) + 39.656 us   |            }
 0) + 44.485 us   |          }
 0) + 45.307 us   |        }
 0) + 45.967 us   |      }
 0) + 56.438 us   |    }
 0) + 61.165 us   |  }
 2)               |  br_handle_frame [bridge]() {
 2)               |    br_nf_pre_routing [br_netfilter]() {
 2)   0.324 us    |      br_validate_ipv4.isra.0 [br_netfilter]();
 2)               |      br_nf_pre_routing_finish [br_netfilter]() {
 2)               |        br_nf_hook_thresh [br_netfilter]() {
 2)               |          br_handle_frame_finish [bridge]() {
 2)   0.293 us    |            br_allowed_ingress [bridge]();
 2)   1.232 us    |            br_fdb_update [bridge]();
 2) + 22.294 us   |            br_fdb_find_rcu [bridge]();
 2)               |            br_pass_frame_up [bridge]() {
 2)   0.410 us    |              br_allowed_egress [bridge]();
 2)   0.377 us    |              br_handle_vlan [bridge]();
 2)   0.291 us    |              br_multicast_count [bridge]();
 2)               |              br_netif_receive_skb [bridge]() {
 2)               |                netif_receive_skb() {
 2)               |                  br_dev_xmit [bridge]() {
 2)   0.294 us    |                    br_nf_dev_xmit [br_netfilter]();
 2)   0.244 us    |                    br_allowed_ingress [bridge]();
 2)   0.343 us    |                    br_fdb_find_rcu [bridge]();
 2)               |                    br_forward [bridge]() {
 2)   0.355 us    |                      br_allowed_egress [bridge]();
 2)   0.284 us    |                      br_handle_vlan [bridge]();
 2)               |                      br_forward_finish [bridge]() {
 2)   0.307 us    |                        br_nf_post_routing [br_netfilter]();
 2)               |                        br_dev_queue_push_xmit [bridge]() {
 2)   0.254 us    |                          br_switchdev_frame_set_offload_fwd_mark [bridge]();
 2)   3.150 us    |                        }
 2)   4.750 us    |                      }
 2)   7.235 us    |                    }
 2) + 10.169 us   |                  }
 2) + 36.935 us   |                }
 2) + 37.690 us   |              }
 2) + 40.934 us   |            }
 2) + 67.276 us   |          }
 2) + 68.101 us   |        }
 2) + 68.772 us   |      }
 2) + 80.323 us   |    }
 2) + 84.932 us   |  }
 2)               |  br_handle_frame [bridge]() {
 2)               |    br_nf_pre_routing [br_netfilter]() {
 2)   0.313 us    |      br_validate_ipv4.isra.0 [br_netfilter]();
 2)               |      br_nf_pre_routing_finish [br_netfilter]() {
 2)               |        br_nf_hook_thresh [br_netfilter]() {
 2)               |          br_handle_frame_finish [bridge]() {
 2)   0.271 us    |            br_allowed_ingress [bridge]();
 2)   1.748 us    |            br_fdb_update [bridge]();
 2)   0.561 us    |            br_fdb_find_rcu [bridge]();
 2)               |            br_pass_frame_up [bridge]() {
 2)   0.270 us    |              br_allowed_egress [bridge]();
 2)   0.318 us    |              br_handle_vlan [bridge]();
 2)   0.267 us    |              br_multicast_count [bridge]();
 2)               |              br_netif_receive_skb [bridge]() {
 2)               |                netif_receive_skb() {
 2)               |                  br_dev_xmit [bridge]() {
 2)   0.291 us    |                    br_nf_dev_xmit [br_netfilter]();
 2)   0.250 us    |                    br_allowed_ingress [bridge]();
 2)   0.305 us    |                    br_fdb_find_rcu [bridge]();
 2)               |                    br_forward [bridge]() {
 2)   0.314 us    |                      br_allowed_egress [bridge]();
 2)   0.286 us    |                      br_handle_vlan [bridge]();
 2)               |                      br_forward_finish [bridge]() {
 2)   0.282 us    |                        br_nf_post_routing [br_netfilter]();
 2)               |                        br_dev_queue_push_xmit [bridge]() {
 2)   0.264 us    |                          br_switchdev_frame_set_offload_fwd_mark [bridge]();
 2)   2.324 us    |                        }
 2)   3.865 us    |                      }
 2)   6.233 us    |                    }
 2)   8.830 us    |                  }
 2) + 38.310 us   |                }
 2) + 38.971 us   |              }
 2) + 41.742 us   |            }
 2) + 46.608 us   |          }
 2) + 47.386 us   |        }
 2) + 48.013 us   |      }
 2) + 57.867 us   |    }
 2) + 62.706 us   |  }
 2)               |  br_handle_frame [bridge]() {
 2)               |    br_nf_pre_routing [br_netfilter]() {
 2)   0.285 us    |      br_validate_ipv4.isra.0 [br_netfilter]();
 2)               |      br_nf_pre_routing_finish [br_netfilter]() {
 2)               |        br_nf_hook_thresh [br_netfilter]() {
 2)               |          br_handle_frame_finish [bridge]() {
 2)   0.264 us    |            br_allowed_ingress [bridge]();
 2) + 21.387 us   |            br_fdb_update [bridge]();
 2)   0.467 us    |            br_fdb_find_rcu [bridge]();
 2)               |            br_pass_frame_up [bridge]() {
 2)   0.278 us    |              br_allowed_egress [bridge]();
 2)   0.270 us    |              br_handle_vlan [bridge]();
 2)   0.320 us    |              br_multicast_count [bridge]();
 2)               |              br_netif_receive_skb [bridge]() {
 2)               |                netif_receive_skb() {
 2)               |                  br_dev_xmit [bridge]() {
 2)   0.288 us    |                    br_nf_dev_xmit [br_netfilter]();
 2)   0.234 us    |                    br_allowed_ingress [bridge]();
 2)   0.254 us    |                    br_fdb_find_rcu [bridge]();
 2)               |                    br_forward [bridge]() {
 2)   0.308 us    |                      br_allowed_egress [bridge]();
 2)   0.228 us    |                      br_handle_vlan [bridge]();
 2)               |                      br_forward_finish [bridge]() {
 2)   0.264 us    |                        br_nf_post_routing [br_netfilter]();
 2)               |                        br_dev_queue_push_xmit [bridge]() {
 2)   0.245 us    |                          br_switchdev_frame_set_offload_fwd_mark [bridge]();
 2)   2.221 us    |                        }
 2)   3.656 us    |                      }
 2)   5.834 us    |                    }
 2)   8.293 us    |                  }
 2) + 31.819 us   |                }
 2) + 32.422 us   |              }
 2) + 35.813 us   |            }
 2) + 60.267 us   |          }
 2) + 61.169 us   |        }
 2) + 61.771 us   |      }
 2) + 71.045 us   |    }
 2) + 75.016 us   |  }
 2)               |  br_handle_frame [bridge]() {
 2)               |    br_nf_pre_routing [br_netfilter]() {
 2)   0.281 us    |      br_validate_ipv4.isra.0 [br_netfilter]();
 2)               |      br_nf_pre_routing_finish [br_netfilter]() {
 2)               |        br_nf_hook_thresh [br_netfilter]() {
 2)               |          br_handle_frame_finish [bridge]() {
 2)   0.268 us    |            br_allowed_ingress [bridge]();
 2)   1.230 us    |            br_fdb_update [bridge]();
 2)   0.569 us    |            br_fdb_find_rcu [bridge]();
 2)               |            br_pass_frame_up [bridge]() {
 2)   0.279 us    |              br_allowed_egress [bridge]();
 2)   0.277 us    |              br_handle_vlan [bridge]();
 2)   0.267 us    |              br_multicast_count [bridge]();
 2)               |              br_netif_receive_skb [bridge]() {
 2) + 21.483 us   |                netif_receive_skb();
 2) + 22.036 us   |              }
 2) + 25.139 us   |            }
 2) + 29.483 us   |          }
 2) + 30.238 us   |        }
 2) + 30.874 us   |      }
 2) + 44.226 us   |    }
 2) + 49.043 us   |  }
 3)               |  br_dev_xmit [bridge]() {
 3)   0.429 us    |    br_nf_dev_xmit [br_netfilter]();
 3)   0.282 us    |    br_allowed_ingress [bridge]();
 3)   0.414 us    |    br_fdb_find_rcu [bridge]();
 3)               |    br_forward [bridge]() {
 3)   0.369 us    |      br_allowed_egress [bridge]();
 3)   0.315 us    |      br_handle_vlan [bridge]();
 3)               |      br_forward_finish [bridge]() {
 3)   0.273 us    |        br_nf_post_routing [br_netfilter]();
 3)               |        br_dev_queue_push_xmit [bridge]() {
 3)   0.243 us    |          br_switchdev_frame_set_offload_fwd_mark [bridge]();
 3)   2.974 us    |        }
 3)   4.418 us    |      }
 3)   7.061 us    |    }
 3) + 11.538 us   |  }
 3)               |  br_handle_frame [bridge]() {
 3)               |    br_nf_pre_routing [br_netfilter]() {
 3)   0.297 us    |      br_validate_ipv4.isra.0 [br_netfilter]();
 3)               |      br_nf_pre_routing_finish [br_netfilter]() {
 3)               |        br_nf_hook_thresh [br_netfilter]() {
 3)               |          br_handle_frame_finish [bridge]() {
 3)   0.265 us    |            br_allowed_ingress [bridge]();
 3)   0.361 us    |            br_fdb_update [bridge]();
 3)   0.292 us    |            br_fdb_find_rcu [bridge]();
 3)               |            br_pass_frame_up [bridge]() {
 3)   0.228 us    |              br_allowed_egress [bridge]();
 3)   0.230 us    |              br_handle_vlan [bridge]();
 3)   0.234 us    |              br_multicast_count [bridge]();
 3)               |              br_netif_receive_skb [bridge]() {
 3)   2.222 us    |                netif_receive_skb();
 3)   2.688 us    |              }
 3)   4.609 us    |            }
 3)   6.961 us    |          }
 3)   7.510 us    |        }
 3)   8.085 us    |      }
 3) + 15.620 us   |    }
 3) + 16.251 us   |  }
 ------------------------------------------
 2)    nc-12831    => kworker-12297 
 ------------------------------------------

 2)   3.554 us    |  br_fdb_cleanup [bridge]();
 ------------------------------------------
 3)    nc-12830    =>    <idle>-0   
 ------------------------------------------

 3) + 34.687 us   |  netif_receive_skb_list_internal();
 3) + 64.913 us   |  netif_receive_skb_list_internal();
